ChainLength, Frequency
1,72
2,24
3,22
4,32
5,14
6,14
7,4
8,8
9,6
10,8
11,16
12,6
13,4
14,8
15,8
16,6
17,2
18,2
19,6
20,6
21,2
23,2
24,2
25,2
27,2
29,2
31,4
32,4
33,2
36,2
37,2
38,2
39,2
41,2
42,2
44,4
45,2
52,2
58,4
61,2
66,4
69,2
75,2
94,2
110,2
113,2
116,2
144,2
200,2
214,2
291,2
315,2
582,2
638,2
780,2
804,2
946,2
1067,2
1202,2
1402,2
1727,2
1825,2
1903,2
1998,2
2041,2
2140,2
2388,2
2446,2
3764,2
4080,2
4193,2
4662,2
5073,2
5567,2
5625,2
6302,2
6746,2
6813,2
8033,2
8128,2
8300,2
8989,2
9815,2
10000,2
10468,2
10605,2
10837,2
11184,2
12094,2
13221,2
14354,2
22990,2
23148,2
24063,2
25266,2
27726,2
29266,2
33507,2
35857,2
43165,2
50737,2
59297,2
60578,2
62038,2
64297,2
95027,2
96712,2
109806,2
117471,2
151612,2
157220,2
164744,2
188477,2
222444,2
299458,2
